id,title,author,description,titelImage,mainImage,meta
1,Gem Life débuts / 蒼春,User Story,多くの宝石は既にジュエリーにセットされた状態で買うのが一般的ですが、私たちは結婚を記念して、まず石そのものを選び、ゆっくりとジュエリーにしていくことにしました。宝石鑑定士に並走してもらい、多くの選択肢を慎重に検討した末、私たちは普通のダイヤモンドではなく美しいブルースピネルを選びました。この見事な宝石からどんなジュエリーが生まれるのか、今からとてもワクワクしています。,../src/assets/images/hsPage/HST1.png,"../src/assets/images/hsPage/HS1.png",360video / 2.4ct ruri2b-182
2,Morning Poem,GEM LIFE,スリランカの宝石産地ラトゥナプラでサファイア原石を買ってコロンボでカットしました。薄い形をした原石だったので、色も輝きも控えめになるかと思いましたが、天然非加熱で申し分ないクオリティの宝石が生まれてきました。尖がったフォルムも仕上がりの重さもカッターと相談した通り。ビジネスカジュアルで集中力をアップするジュエリーにしようと計画中。出来たら報告します。,../src/assets/images/hsPage/HST2.png,"../src/assets/images/hsPage/HS2.png","Fujimori Blue Sapphire / Rough stone image x1"
